OTUID,V92S41260,SSLF1563,SLS31664,SFR2044,V57VSLS520,VSLS52145,SSL2246,SL529,Soil72,SOIL72,SOIL82,S4WOOD,SOIL4,SOIL4FRASS,SOILA,SOILVELVET,SWOODSPIDER,V88soil,SLSU856,SLS4957
cf656aa76dc326a887a50d48dcdbcb44,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
0ca01af521af46d793292ebedf656ed1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
74fa2cb27732cecb46260c2cba130c2e,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,158,0,0
9b8d770ad8bedc95fb2491bd4705cbe2,0,0,0,0,0,0,0,0,457,86,755,52672,0,0,0,0,4074,0,0,0
ebc9c1dcee6afdb9c657a9466b1adf89,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0
a6188d36f8897d061c04374eecde7454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
8025401add7128334f85c48d1c593ee1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38c97fe39d8fe293304e4c0806c0c067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
9ed8fbc9871f2041b2f2e7eaae0315fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de656f14a1465cd4cd3044f74bc3dd3e,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
670d60c3d3af25f6d17ec83afb24e238,0,0,0,0,0,0,0,0,54,12,41,20529,0,0,0,0,5526,0,0,0
9a389fd377753a0bdc91cda20da9bdcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
7c63ad8d04038b5137db5fbdc5a4e5cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337101bbe52fd6f1e6a02f672760b3b,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,28,0,0
bba174cc1d3578777d89ea6d983e4a4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,0,0,0,0
97d0e3722c81ab0270f23451e819f130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed7107f032278c8622fcc12c7aaa63bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
a6d5ddefc56ca623882e48641a03f3d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d5c630d253ca25b1134fa496cc375b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
55692cf2540177f43ecf187e6ac46173,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
